Attrition,Age,MonthlyIncome,DistanceFromHome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,NumCompaniesWorked,JobLevel,JobInvolvement,JobSatisfaction,PerformanceRating,StockOptionLevel,JobRole,OverTime,BusinessTravel,Department,MaritalStatus,EducationField
No,30,8474,1,12,11,8,8,5,1,3,2,3,4,0,Manufacturing Director,No,Non-Travel,Research & Development,Single,Life Sciences
No,27,9981,20,7,7,7,7,0,1,2,3,3,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Life Sciences
No,51,12490,8,16,10,9,7,4,5,3,2,2,3,2,Research Director,No,Travel_Rarely,Research & Development,Married,Life Sciences
Yes,30,2657,3,8,5,2,4,0,5,1,3,1,3,0,Research Scientist,Yes,Travel_Rarely,Research & Development,Single,Technical Degree
No,41,13591,6,16,1,0,0,0,3,3,3,4,3,0,Manager,Yes,Travel_Rarely,Sales,Single,Life Sciences
Yes,30,6696,26,9,6,3,1,0,5,2,2,1,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Marketing
Yes,29,2058,1,7,6,2,5,1,0,1,3,3,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Technical Degree
No,45,8865,6,23,19,7,8,12,6,3,2,4,3,0,Sales Executive,No,Non-Travel,Sales,Single,Medical
No,54,5940,3,16,6,2,5,0,2,2,3,1,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Marketing
No,36,5914,5,16,13,11,7,3,8,2,3,2,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,33,2622,4,7,3,2,1,1,6,1,2,2,4,0,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,37,12185,11,10,10,8,7,0,1,3,3,4,3,3,Research Director,Yes,Travel_Frequently,Research & Development,Divorced,Other
No,38,10609,3,17,16,10,13,5,0,3,3,3,3,2,Sales Executive,No,Travel_Rarely,Sales,Divorced,Life Sciences
No,31,4345,1,6,5,4,4,1,0,2,1,3,3,1,Manufacturing Director,No,Non-Travel,Research & Development,Married,Medical
No,59,2177,3,7,1,0,0,0,3,1,2,4,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,37,2793,4,13,9,8,8,5,4,1,3,4,3,1,Sales Representative,No,Travel_Frequently,Sales,Divorced,Marketing
No,29,7918,1,11,11,10,1,4,1,3,3,4,3,1,Sales Executive,No,Travel_Frequently,Sales,Married,Medical
No,35,8789,1,10,10,7,8,0,1,3,3,3,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Marketing
Yes,29,2389,18,4,4,3,1,0,1,1,2,4,3,0,Research Scientist,Yes,Travel_Rarely,Research & Development,Single,Medical
No,52,3212,2,6,2,2,2,2,7,1,2,4,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,42,19232,4,22,22,17,15,11,1,5,3,4,3,0,Manager,No,Travel_Rarely,Research & Development,Married,Technical Degree
No,59,2267,6,7,2,2,2,2,8,1,3,3,3,0,Human Resources,No,Travel_Rarely,Human Resources,Married,Medical
No,50,19517,1,32,7,0,6,0,3,5,3,4,3,1,Manager,No,Travel_Rarely,Sales,Divorced,Medical
Yes,33,2436,14,8,5,4,4,0,5,1,3,4,3,1,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Married,Medical
No,43,16064,16,22,17,13,9,1,5,4,3,4,4,1,Manager,Yes,Travel_Rarely,Sales,Married,Marketing
Yes,33,2707,2,13,9,7,7,1,7,1,3,1,4,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,52,19068,2,33,33,7,12,15,1,5,2,3,3,0,Manager,Yes,Non-Travel,Sales,Single,Life Sciences
No,32,3931,4,6,4,3,2,1,2,1,3,2,3,1,Sales Representative,No,Travel_Rarely,Sales,Married,Life Sciences
Yes,32,3730,1,4,3,2,2,1,0,1,2,3,3,0,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
No,39,2232,1,7,3,2,2,1,7,1,3,3,3,3,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Medical
No,32,4465,26,4,3,2,2,2,0,2,3,4,3,0,Sales Executive,No,Non-Travel,Sales,Married,Marketing
No,41,3072,19,17,1,0,0,0,2,2,3,1,3,2,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,40,3319,24,9,9,8,7,4,1,2,3,4,3,2,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Technical Degree
No,45,19202,1,25,24,0,7,1,0,5,4,4,3,1,Manager,No,Travel_Rarely,Research & Development,Married,Other
No,31,13675,3,9,2,2,2,2,9,3,3,3,3,1,Research Director,No,Travel_Frequently,Research & Development,Divorced,Medical
No,33,2911,5,2,2,2,2,0,1,1,2,4,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,34,5957,2,13,11,9,9,5,6,2,2,1,3,1,Manufacturing Director,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,37,3920,1,17,3,1,2,0,2,1,2,1,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,45,6434,7,9,3,2,2,0,4,2,4,3,3,1,Manufacturing Director,No,Travel_Frequently,Research & Development,Married,Life Sciences
Yes,37,10048,10,17,1,0,0,0,6,3,3,3,3,2,Manufacturing Director,No,Travel_Frequently,Research & Development,Divorced,Medical
No,39,10938,2,20,19,6,8,11,0,3,3,3,4,0,Healthcare Representative,No,Travel_Frequently,Research & Development,Single,Technical Degree
No,29,2340,15,6,6,5,5,1,1,1,3,4,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,42,6545,17,10,3,2,2,0,3,2,4,1,3,0,Research Scientist,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
No,29,6931,20,10,3,2,2,0,2,2,3,4,3,1,Sales Executive,No,Travel_Rarely,Sales,Divorced,Marketing
No,25,4898,1,5,4,2,2,1,0,2,3,3,3,2,Manufacturing Director,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,42,2593,2,10,9,6,8,7,0,1,2,1,3,1,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Divorced,Medical
No,40,19436,2,22,21,7,9,3,0,5,3,3,3,1,Research Director,No,Travel_Rarely,Research & Development,Divorced,Medical
No,51,2723,1,1,1,0,0,0,1,1,3,4,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Married,Life Sciences
Yes,31,3479,29,6,5,4,4,1,0,1,2,2,3,0,Laboratory Technician,No,Travel_Frequently,Research & Development,Single,Medical
No,32,2794,7,5,5,1,3,0,1,1,4,2,4,0,Laboratory Technician,No,Travel_Frequently,Research & Development,Married,Life Sciences
No,38,5249,2,13,8,7,5,7,3,2,2,4,3,1,Sales Executive,No,Non-Travel,Sales,Married,Life Sciences
No,32,2176,2,9,6,2,4,0,4,2,2,1,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Technical Degree
No,46,16872,2,28,7,7,7,7,3,4,1,2,3,1,Manager,Yes,Travel_Rarely,Sales,Married,Technical Degree
Yes,28,3485,2,5,0,0,0,0,2,1,3,3,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,29,6644,2,10,0,0,0,0,2,2,2,2,3,2,Sales Executive,No,Travel_Rarely,Sales,Married,Medical
No,31,5582,23,10,9,0,8,7,0,2,2,4,4,1,Healthcare Representative,No,Travel_Rarely,Research & Development,Married,Medical
No,25,4000,5,6,6,3,5,1,1,2,4,1,3,2,Healthcare Representative,No,Non-Travel,Research & Development,Divorced,Life Sciences
No,45,13496,20,21,20,7,10,4,0,4,3,4,3,0,Healthcare Representative,Yes,Travel_Rarely,Research & Development,Married,Medical
No,36,3210,6,16,15,13,11,10,0,1,3,4,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,55,19045,1,37,36,10,13,4,0,5,3,1,3,0,Manager,Yes,Travel_Rarely,Research & Development,Single,Medical
Yes,47,11849,29,10,10,7,9,9,1,3,3,2,3,1,Manager,Yes,Non-Travel,Research & Development,Married,Life Sciences
No,28,2070,9,5,5,2,4,0,1,1,3,4,4,1,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,37,6502,6,7,5,4,1,0,4,2,3,4,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Medical
No,21,3230,3,3,3,2,0,1,1,1,2,3,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Medical
No,37,13603,1,15,5,2,2,0,2,3,3,4,3,2,Research Director,Yes,Non-Travel,Research & Development,Divorced,Medical
No,35,11996,22,10,7,7,2,6,7,3,4,2,3,1,Manager,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,38,5605,7,8,8,0,7,7,1,2,4,1,4,1,Sales Executive,Yes,Travel_Rarely,Sales,Divorced,Medical
No,26,6397,1,6,6,5,4,1,1,2,3,2,4,1,Manufacturing Director,No,Travel_Frequently,Research & Development,Divorced,Life Sciences
No,50,19144,4,28,10,4,6,1,3,5,3,2,3,2,Research Director,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,53,17584,3,21,5,3,3,1,3,4,3,3,3,3,Research Director,Yes,Travel_Rarely,Research & Development,Married,Medical
No,42,4907,1,20,20,16,6,11,1,2,3,3,4,0,Sales Executive,No,Travel_Rarely,Sales,Married,Life Sciences
No,29,4554,2,10,10,7,9,0,1,2,3,4,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Life Sciences
No,55,5415,20,12,10,7,8,0,3,2,3,4,3,1,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Married,Technical Degree
No,26,4741,11,5,5,3,3,3,1,2,3,1,3,1,Healthcare Representative,Yes,Travel_Frequently,Research & Development,Married,Medical
No,37,2115,1,17,17,12,7,5,1,1,3,4,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Life Sciences
Yes,44,3161,24,19,1,0,0,0,3,1,3,3,4,1,Laboratory Technician,Yes,Travel_Frequently,Research & Development,Divorced,Life Sciences
No,38,5745,23,10,2,2,2,1,9,2,3,4,3,1,Healthcare Representative,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
Yes,26,2373,16,5,3,2,2,0,2,1,3,2,3,1,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Divorced,Medical
No,28,3310,8,5,5,3,2,0,1,1,3,4,4,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,49,18665,10,22,3,2,2,1,9,5,3,1,3,0,Research Director,Yes,Travel_Frequently,Research & Development,Single,Life Sciences
No,36,4485,3,10,8,0,7,7,4,2,3,2,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Technical Degree
No,31,2789,5,2,2,2,2,2,1,1,3,2,3,1,Sales Representative,No,Travel_Frequently,Sales,Divorced,Marketing
Yes,26,5828,4,8,8,7,4,7,1,2,2,4,3,0,Sales Executive,Yes,Travel_Rarely,Sales,Single,Marketing
No,37,2326,9,4,4,2,2,1,1,1,3,4,3,3,Research Scientist,Yes,Travel_Frequently,Research & Development,Married,Medical
No,42,13525,26,23,20,4,8,4,5,4,3,2,3,1,Sales Executive,No,Travel_Frequently,Sales,Married,Marketing
Yes,18,1420,3,0,0,0,0,0,1,1,3,3,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,35,8020,16,12,11,9,9,6,0,3,3,2,3,2,Sales Executive,No,Travel_Rarely,Sales,Married,Marketing
No,36,3688,18,4,1,0,0,0,4,1,4,4,3,2,Laboratory Technician,No,Travel_Frequently,Research & Development,Married,Life Sciences
No,51,5482,2,13,4,1,2,1,5,2,1,2,3,1,Manufacturing Director,No,Travel_Rarely,Research & Development,Divorced,Medical
No,41,16015,2,22,22,10,4,0,1,4,3,2,3,0,Manager,No,Travel_Rarely,Sales,Single,Life Sciences
No,18,1200,10,0,0,0,0,0,1,1,2,3,3,0,Sales Representative,No,Travel_Rarely,Sales,Single,Medical
No,28,5661,16,9,8,3,7,0,0,2,4,1,3,0,Healthcare Representative,No,Travel_Rarely,Research & Development,Single,Medical
No,31,6929,7,10,8,7,7,7,4,2,4,4,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Technical Degree
No,39,9613,1,19,18,10,7,3,0,3,4,4,3,3,Healthcare Representative,No,Travel_Rarely,Research & Development,Divorced,Medical
No,36,5674,24,11,9,8,8,0,7,2,3,2,3,1,Laboratory Technician,No,Non-Travel,Research & Development,Married,Life Sciences
No,32,5484,7,13,13,8,8,4,1,2,2,3,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Life Sciences
No,38,12061,25,19,10,8,1,0,3,3,2,2,3,1,Research Director,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,58,5660,1,12,5,3,2,1,2,2,1,3,3,1,Healthcare Representative,Yes,Non-Travel,Research & Development,Divorced,Life Sciences
No,31,4821,5,6,5,2,3,0,0,1,3,4,3,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Technical Degree
No,31,6410,2,9,2,2,0,1,3,2,2,1,3,0,Human Resources,No,Travel_Rarely,Human Resources,Married,Human Resources
No,45,5210,7,24,24,9,11,9,1,3,3,1,3,1,Laboratory Technician,No,Travel_Frequently,Research & Development,Divorced,Life Sciences
No,31,2695,2,3,2,2,2,2,0,1,3,4,3,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,33,11878,5,12,10,6,8,8,6,3,3,2,3,2,Manager,No,Travel_Frequently,Research & Development,Married,Life Sciences
No,39,17068,10,21,21,9,10,11,1,4,3,1,3,0,Manager,Yes,Travel_Rarely,Research & Development,Married,Medical
No,43,2455,10,9,8,7,7,1,0,1,3,4,3,0,Laboratory Technician,No,Travel_Frequently,Research & Development,Single,Life Sciences
No,49,13964,1,25,7,1,7,0,7,4,2,3,3,0,Healthcare Representative,Yes,Travel_Rarely,Research & Development,Single,Technical Degree
Yes,52,4941,8,11,8,2,7,7,2,2,2,2,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,27,2478,5,4,4,3,2,1,1,1,3,2,3,0,Research Scientist,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
No,32,5228,8,13,13,12,9,11,1,2,2,2,3,0,Sales Executive,Yes,Travel_Rarely,Sales,Married,Technical Degree
No,27,4478,2,5,5,4,4,0,1,2,3,3,3,0,Sales Executive,Yes,Travel_Rarely,Sales,Single,Life Sciences
No,31,7547,7,13,7,7,7,1,4,2,3,4,3,3,Sales Executive,No,Travel_Rarely,Sales,Divorced,Marketing
No,32,5055,2,10,7,7,7,0,7,2,4,4,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Medical
Yes,28,3464,2,5,3,2,2,2,5,1,1,4,3,0,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Medical
No,30,5775,28,11,10,8,9,1,1,2,3,4,3,2,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,31,8943,7,10,10,9,9,8,1,3,2,3,4,1,Manufacturing Director,No,Travel_Frequently,Research & Development,Married,Life Sciences
No,39,19272,7,21,21,9,3,13,1,5,2,4,3,1,Manager,No,Travel_Frequently,Research & Development,Married,Medical
Yes,39,5238,3,12,1,0,0,0,4,2,3,3,3,0,Sales Executive,Yes,Travel_Rarely,Sales,Married,Medical
No,33,4682,10,9,7,7,1,0,3,2,2,4,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Marketing
No,47,18300,5,21,3,2,1,1,4,5,3,3,3,1,Research Director,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,43,5257,10,9,9,7,0,0,1,2,2,3,3,1,Laboratory Technician,No,Travel_Frequently,Research & Development,Divorced,Life Sciences
No,27,6349,1,6,5,4,4,1,0,2,3,2,3,1,Sales Executive,Yes,Non-Travel,Sales,Married,Marketing
No,54,4869,20,20,4,3,3,0,3,2,3,3,3,0,Research Scientist,No,Travel_Frequently,Research & Development,Single,Life Sciences
No,43,9985,7,10,1,0,0,0,8,3,3,1,3,1,Healthcare Representative,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,45,3697,8,12,10,9,8,9,9,2,3,4,3,2,Research Scientist,No,Travel_Rarely,Research & Development,Married,Other
No,40,7457,1,6,4,3,2,0,2,2,1,4,4,3,Sales Executive,Yes,Travel_Rarely,Sales,Married,Medical
Yes,29,2119,8,7,7,7,7,0,1,1,1,1,3,0,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Married,Other
No,29,3983,9,4,3,2,2,2,0,1,2,4,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Other
No,30,6118,5,10,10,9,2,1,1,2,2,3,3,3,Sales Executive,No,Travel_Rarely,Sales,Divorced,Marketing
No,27,6214,8,8,8,7,7,0,1,2,3,2,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Marketing
No,37,6347,5,8,6,2,4,0,7,2,3,4,3,2,Manufacturing Director,No,Travel_Rarely,Research & Development,Divorced,Medical
No,38,11510,15,12,11,10,9,2,0,3,2,4,3,1,Research Director,Yes,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,31,7143,7,11,11,9,10,4,1,3,3,4,3,0,Manufacturing Director,Yes,Travel_Rarely,Research & Development,Single,Medical
No,29,8268,10,7,7,7,7,1,1,2,2,2,3,2,Sales Executive,Yes,Travel_Rarely,Sales,Divorced,Marketing
No,35,8095,5,17,16,6,13,0,0,3,3,2,3,0,Manufacturing Director,No,Travel_Rarely,Research & Development,Single,Technical Degree
No,23,2904,26,4,4,2,2,0,1,1,3,4,3,2,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,41,6032,6,8,5,4,2,1,6,2,2,2,3,0,Manufacturing Director,Yes,Travel_Rarely,Research & Development,Single,Medical
No,47,2976,4,5,0,0,0,0,3,2,3,3,3,0,Sales Representative,No,Travel_Frequently,Sales,Single,Medical
No,42,15992,23,16,1,0,0,0,2,4,3,4,3,0,Research Director,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,29,4649,2,4,4,3,2,0,1,2,3,3,3,1,Sales Executive,No,Non-Travel,Sales,Married,Life Sciences
No,42,2696,2,4,3,2,0,1,0,1,3,3,3,1,Human Resources,Yes,Travel_Rarely,Human Resources,Divorced,Technical Degree
No,32,2370,2,8,8,0,7,0,1,1,3,2,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Medical
No,48,12504,29,15,0,0,0,0,3,3,3,3,4,1,Manager,No,Travel_Rarely,Sales,Married,Medical
No,37,5974,6,13,7,7,7,6,4,2,4,1,3,2,Research Scientist,Yes,Travel_Rarely,Research & Development,Divorced,Medical
No,30,4736,25,4,2,2,2,2,7,2,3,3,3,1,Sales Executive,Yes,Non-Travel,Sales,Married,Technical Degree
No,26,5296,1,8,8,7,7,7,1,2,3,3,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Life Sciences
No,42,6781,2,14,1,0,0,0,3,2,2,4,4,0,Healthcare Representative,No,Travel_Rarely,Research & Development,Single,Other
Yes,21,2174,1,3,3,2,2,1,1,1,2,2,3,0,Sales Representative,Yes,Travel_Frequently,Sales,Single,Technical Degree
No,36,6653,1,7,1,0,0,0,4,2,3,4,3,0,Sales Executive,No,Non-Travel,Sales,Single,Medical
No,36,9699,3,16,13,9,12,1,4,3,2,4,3,1,Sales Executive,No,Travel_Frequently,Sales,Married,Medical
No,57,6755,1,15,3,2,2,1,2,2,3,3,3,0,Healthcare Representative,No,Travel_Rarely,Research & Development,Married,Medical
No,40,2213,10,10,7,7,7,1,3,1,4,3,3,1,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Married,Life Sciences
No,21,2610,9,3,3,2,2,2,1,1,3,4,4,0,Sales Representative,No,Non-Travel,Sales,Single,Medical
Yes,33,2851,5,1,1,0,0,0,1,1,3,3,3,0,Sales Representative,Yes,Travel_Rarely,Sales,Single,Marketing
No,37,3452,10,17,5,4,3,0,6,1,3,1,4,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Medical
No,46,5258,7,7,1,0,0,0,2,2,3,3,3,0,Manufacturing Director,No,Non-Travel,Research & Development,Married,Medical
Yes,41,9355,4,8,8,7,7,7,1,2,3,2,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Marketing
No,50,10496,10,20,4,3,3,1,6,3,2,4,3,0,Healthcare Representative,No,Travel_Rarely,Research & Development,Single,Technical Degree
Yes,40,6380,22,8,6,4,0,1,2,2,2,3,3,2,Sales Executive,Yes,Travel_Rarely,Sales,Married,Marketing
No,31,2657,9,3,2,2,2,2,0,1,2,2,3,0,Research Scientist,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
Yes,21,2716,12,1,1,0,0,0,1,1,4,2,3,0,Sales Representative,No,Travel_Rarely,Sales,Single,Life Sciences
No,29,2201,23,6,3,2,2,1,9,1,3,4,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,35,6540,9,10,1,1,0,0,9,2,2,2,3,0,Healthcare Representative,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,27,3816,1,5,5,2,4,0,1,1,3,2,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Medical
No,28,5253,9,7,7,5,7,0,1,2,3,4,3,0,Sales Executive,No,Travel_Rarely,Sales,Single,Life Sciences
No,49,10965,7,26,5,2,0,0,8,3,2,3,4,0,Healthcare Representative,No,Travel_Rarely,Research & Development,Single,Other
No,51,4936,14,18,7,7,7,0,4,2,3,4,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Life Sciences
No,36,2543,2,6,2,2,2,2,4,1,3,3,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Married,Life Sciences
Yes,34,5304,19,9,5,2,4,0,8,2,4,4,3,0,Sales Executive,Yes,Non-Travel,Sales,Single,Marketing
No,55,16659,2,30,5,4,2,1,2,4,3,4,3,0,Manager,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
No,24,4260,10,5,5,2,3,0,1,2,3,3,3,1,Sales Executive,Yes,Travel_Rarely,Sales,Divorced,Marketing
No,30,2476,2,1,1,0,0,0,1,1,3,2,3,1,Sales Representative,No,Travel_Rarely,Sales,Married,Technical Degree
Yes,26,3102,3,7,6,4,4,0,0,1,3,1,4,0,Research Scientist,No,Travel_Frequently,Research & Development,Single,Technical Degree
No,22,2244,11,2,2,1,2,1,1,1,3,2,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,36,7596,2,10,10,9,0,9,1,3,2,3,3,2,Sales Executive,No,Travel_Rarely,Sales,Married,Medical
Yes,30,2285,4,3,1,0,0,0,9,1,3,4,4,0,Research Scientist,Yes,Travel_Frequently,Research & Development,Single,Technical Degree
No,37,3034,14,18,18,7,17,12,1,1,3,1,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,40,5715,2,8,5,4,3,1,7,2,3,2,3,2,Sales Executive,No,Travel_Rarely,Sales,Divorced,Marketing
No,42,2576,1,8,5,2,2,1,3,1,3,1,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,37,4197,10,18,1,0,1,0,2,2,3,2,3,0,Manufacturing Director,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
No,43,14336,12,25,25,10,9,3,1,4,2,2,3,1,Research Director,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,40,3448,2,20,1,0,0,0,6,2,2,3,4,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Medical
No,54,19406,5,24,4,2,2,1,4,5,3,1,3,1,Research Director,No,Travel_Rarely,Research & Development,Married,Medical
No,34,6538,4,6,3,2,2,1,9,2,3,3,3,1,Sales Executive,No,Non-Travel,Sales,Married,Marketing
No,31,4306,7,13,13,10,12,3,1,2,3,1,3,1,Manufacturing Director,No,Travel_Rarely,Research & Development,Married,Medical
No,43,2258,21,8,3,2,2,1,7,1,3,4,4,1,Laboratory Technician,No,Travel_Frequently,Research & Development,Married,Medical
No,43,4522,8,8,5,2,2,0,4,2,3,3,3,0,Healthcare Representative,Yes,Travel_Rarely,Research & Development,Divorced,Other
No,25,4487,4,5,5,4,3,1,1,2,2,4,3,0,Sales Executive,Yes,Travel_Rarely,Sales,Single,Life Sciences
No,37,4449,25,15,13,11,7,10,3,2,3,3,3,2,Research Scientist,Yes,Non-Travel,Research & Development,Married,Medical
No,31,2218,1,4,4,2,2,3,1,1,2,1,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,39,19197,1,21,21,8,6,1,1,5,3,3,3,1,Manager,Yes,Travel_Frequently,Research & Development,Divorced,Life Sciences
No,56,13212,6,36,7,7,7,7,9,4,4,1,3,3,Sales Executive,No,Travel_Frequently,Sales,Married,Life Sciences
No,30,6577,12,6,5,4,4,4,0,2,3,3,3,0,Sales Executive,No,Travel_Rarely,Sales,Single,Technical Degree
No,41,8392,1,10,10,7,7,0,1,3,4,1,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Marketing
No,28,4558,17,10,10,0,8,1,1,2,3,1,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Medical
Yes,25,4031,3,6,2,2,2,0,5,1,3,1,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Medical
No,52,7969,3,28,5,4,4,0,2,3,2,3,3,0,Manufacturing Director,Yes,Travel_Rarely,Research & Development,Married,Medical
No,45,2654,10,8,2,2,2,0,3,1,3,4,4,2,Research Scientist,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,52,16555,4,31,5,2,4,1,2,4,3,4,3,0,Manager,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,42,4556,29,19,5,4,2,0,2,2,3,3,3,1,Research Scientist,No,Travel_Frequently,Research & Development,Divorced,Life Sciences
No,30,6091,2,11,5,4,2,0,2,2,1,4,4,0,Manufacturing Director,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,60,19566,7,33,29,8,10,11,5,5,3,1,3,0,Manager,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,46,4810,18,19,10,7,8,0,2,2,3,3,3,1,Manufacturing Director,No,Travel_Rarely,Research & Development,Divorced,Medical
No,42,4523,28,7,6,5,4,0,0,2,2,4,3,3,Healthcare Representative,No,Travel_Frequently,Research & Development,Married,Technical Degree
Yes,24,3202,1,6,5,3,4,1,1,1,3,2,3,0,Sales Representative,Yes,Travel_Rarely,Sales,Single,Technical Degree
Yes,34,2351,6,3,2,2,0,1,0,1,1,3,3,1,Sales Representative,No,Travel_Frequently,Sales,Divorced,Marketing
No,38,1702,2,1,1,0,0,0,1,1,3,4,4,1,Laboratory Technician,Yes,Travel_Frequently,Research & Development,Married,Life Sciences
No,40,18041,2,21,20,15,12,1,0,5,3,3,3,0,Manager,No,Travel_Rarely,Sales,Married,Life Sciences
No,26,2886,23,3,3,2,2,0,1,1,3,4,4,2,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,30,2097,3,9,5,3,4,1,4,1,3,4,3,1,Laboratory Technician,No,Non-Travel,Research & Development,Married,Life Sciences
No,29,11935,3,10,10,2,7,0,1,3,2,3,3,0,Research Director,No,Travel_Rarely,Research & Development,Married,Medical
Yes,29,2546,25,6,2,2,1,1,5,1,2,2,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Married,Technical Degree
Yes,19,2564,2,1,1,0,0,0,1,1,2,4,3,0,Human Resources,No,Travel_Rarely,Human Resources,Single,Technical Degree
No,30,8412,22,10,9,8,8,7,0,3,3,1,3,0,Sales Executive,No,Non-Travel,Sales,Married,Other
No,57,14118,29,32,1,0,0,0,3,4,2,4,3,1,Manager,No,Travel_Rarely,Sales,Divorced,Marketing
No,50,17046,29,28,27,10,7,15,0,4,2,3,3,1,Manager,No,Travel_Rarely,Research & Development,Married,Life Sciences
